age,Sr,eSr,d13C,ed13C,d34S,ed34S,fR,efR,fL,efL,fA,efA,fA_Godderis,efA_Godderis,fAw_fA,efAw_fA,fAw_fA_Godderis,efAw_fA_Godderis,fD,efD,fD_Godderis,efD_Godderis,RT,eRT,GEOG,eGEOG,GEOG_Godderis,eGEOG_Godderis,fSR,efSR,fC,efC,fHR,efHR,fHRall,efHRall
521,89,2.419794621,0,0.3850050975,32.74,1.3089926757,1.02776,0.0822208,1.05,0.42,0.642,0.321,0.9349,0.2103525,1,0.2,0.826785,0.4133925,1.12,0.56,0.6845664043,0.1540274406,0.0310264805,0.0155132403,0.6,5,-4.80645,1.25,1.689,0.295575,0.75,0.16875,0,0,0,0
520,89,2.419794621,0,0.385164,32.7,1.349518433,1.0277,0.082216,1.05,0.42,0.64,0.32,0.932,0.2097,1,0.2,0.8275,0.41375,1.12,0.56,0.691024864,0.155480594,0.03128428,0.01564214,0.6,5,-4.674,1.25,1.7,0.2975,0.75,0.16875,0,0,0,0
519,89,2.419794621,-0.05,0.3850050975,32.96,1.3907619358,1.02747,0.0821976,1.042,0.4168,0.642,0.321,0.929,0.209025,1,0.2,0.828215,0.4141075,1.118,0.559,0.6974833236,0.1569337475,0.0311884518,0.0155942259,0.65,5,-4.54155,1.25,1.692,0.2961,0.75,0.16875,0,0,0,0
518,89,2.419794621,-0.1,0.384846195,33.22,1.4320054386,1.02724,0.0821792,1.034,0.4136,0.644,0.322,0.926,0.20835,1,0.2,0.82893,0.414465,1.116,0.558,0.7039417832,0.158386901,0.0310926236,0.0155463118,0.7,5,-4.4091,1.25,1.684,0.2947,0.75,0.16875,0,0,0,0
517,89,2.419794621,-0.15,0.3846872925,33.48,1.4732489414,1.02701,0.0821608,1.026,0.4104,0.646,0.323,0.923,0.207675,1,0.2,0.829645,0.4148225,1.114,0.557,0.7104002428,0.1598400545,0.0309967954,0.0154983977,0.75,5,-4.27665,1.25,1.676,0.2933,0.75,0.16875,0,0,0,0
516,89,2.419794621,-0.2,0.38452839,33.74,1.5144924442,1.02678,0.0821424,1.018,0.4072,0.648,0.324,0.92,0.207,1,0.2,0.83036,0.41518,1.112,0.556,0.7168587024,0.161293208,0.0309009672,0.0154504836,0.8,5,-4.1442,1.25,1.668,0.2919,0.75,0.16875,0,0,0,0
515,89,2.419794621,-0.25,0.3843694875,34,1.555735947,1.02655,0.082124,1.01,0.404,0.65,0.325,0.917,0.206325,1,0.2,0.831075,0.4155375,1.11,0.555,0.723317162,0.1627463615,0.030805139,0.0154025695,0.85,5,-4.01175,1.25,1.66,0.2905,0.75,0.16875,0,0,0,0
514,89,2.419794621,-0.3,0.384210585,34.26,1.5969794498,1.02632,0.0821056,1.002,0.4008,0.652,0.326,0.914,0.20565,1,0.2,0.83179,0.415895,1.108,0.554,0.7297756216,0.164199515,0.0307093108,0.0153546554,0.9,5,-3.8793,1.25,1.652,0.2891,0.75,0.16875,0,0,0,0
513,89,2.419794621,-0.35,0.3840516825,34.52,1.6382229526,1.02609,0.0820872,0.994,0.3976,0.654,0.327,0.911,0.204975,1,0.2,0.832505,0.4162525,1.106,0.553,0.7362340812,0.1656526685,0.0306134826,0.0153067413,0.95,5,-3.74685,1.25,1.644,0.2877,0.75,0.16875,0,0,0,0
512,89,2.419794621,-0.4,0.38389278,34.78,1.6794664554,1.02586,0.0820688,0.986,0.3944,0.656,0.328,0.908,0.2043,1,0.2,0.83322,0.41661,1.104,0.552,0.7426925408,0.167105822,0.0305176544,0.0152588272,1,5,-3.6144,1.25,1.636,0.2863,0.75,0.16875,0,0,0,0
511,89,2.419794621,-0.45,0.3837338775,35.04,1.7207099582,1.02563,0.0820504,0.978,0.3912,0.658,0.329,0.905,0.203625,1,0.2,0.833935,0.4169675,1.102,0.551,0.7491510004,0.1685589755,0.0304218262,0.0152109131,1.05,5,-3.48195,1.25,1.628,0.2849,0.75,0.16875,0,0,0,0
